Index 1,Index 2,Ingredients 1,Ingredients 2,Recipe 1,Recipe 2,Raw Judgement,Healthier
558306,973846,"4 large boneless chicken breasts
14 cup flour
18 teaspoon salt
18 teaspoon pepper
12 cup butter
1 tablespoon sherry wine
1 tablespoon white wine
3 tablespoons orange juice
1 teaspoon grated orange rind
2 teaspoons lemon juice
1 cup half-and-half
1 lemon, sliced in very thin slices
12 cup grated parmesan cheese
","3/4 lb hamburger(may use 1/2 sausage and 1/2 hamburger)
1 tomato sauce -lg 29oz can
1 diced tomatoes- with garlic,basil,& oregeno 14.5oz can
3 tbsp italian seasoning
1 tbsp garlic powder
1 tbsp onion powder
1/4 tsp pepper
1/2 tsp sugar
3 cup mozzarella cheese shredded
1 3/4 cup ricotta cheese- 15oz container
1/3 cup parmesan cheese
1 tsp italian seasoning
1/4 tsp pepper
14 -16 manicotti( i make 2 boxs to cover ones that split open)
1 cup shredded mozzarella cheese
","1) Preheat oven to 400 degrees F.
2) Combine flour, salt, and pepper in a small bowl.
3) Dust chicken with seasoned flour and place in a buttered casserole dish in a single layer.
4) Dot chicken with butter and place in oven for 25 minutes.
5) Then reduce the temperature to 325 degrees.
6) Combine sherry, white wine, orange juice, orange rind, and lemon juice and pour over the chicken for an additional 20 minutes, covered.
7) Remove casserole from the oven and pour half-and-half around the chicken.
8) Let casserole cool slightly.
9) On a cookie sheet, arrange lemon slices and sprinkle with grated parmesan cheese.
10) Broil until lightly browned.
11) Arrange chicken on a serving platter.
12) Stir sauce and pour over chicken.
13) Garnish with broiled lemon slices.
","1) brown hamburger in large skillet, drain fat
2) add tomato sauce, diced tomatoes, garlic powder,onion powder,Italian seasoning, pepper,and sugar bring to low boil and turn down to med low and cook for at least 15 mins
3) bring pot of water to boil and cook manicotti for time that the box says to cook( u can leave them uncooked, I don't like doing this because the shell is a more tough noodle to bite into), let cool( I put back into the trays that the shells come in to cool)
4) mix together ricotta cheese, mozzarella cheese, parmesan cheese, pepper, and Italian seasoning
5) preheated oven to 400*, spray a 9x13 pan
6) put 1cup of sauce in bottom of pan and spread around, take cheese filling and put into a ziplock baggy and cut one of the bottom corners off(do not over fill baggy so it is easy to handle) fill manicotti shell(noodle) from both ends, fill enough but do not over fill you will split the shell, place filled shells in pan, I put 2 across and 7-8 down
7) pour remaining filling over top of filled shells, use the remaining 1 cup cheese and sprinkle in 2lines down the center over the shells, cover with foil
8) bake at 400* for 40mins then remove foil and bake for 15 mins longer, take out of oven and let rest for 10mins before serving, enjoy
"," Based on the ingredients and preparation, Recipe 2 seems more nutritious and healthy overall compared to Recipe 1. Here are some key points:

- Recipe 2 uses lean ground beef and ricotta cheese as main ingredients, which provide protein. Recipe 1 relies mainly on chicken and high-fat dairy like butter and half-and-half.

- Recipe 2 includes tomatoes, garlic, onions, and herbs like basil and oregano. These ingredients add vitamins, minerals, and antioxidants.",2
343250,381542,"7 ounces sweet roasted red peppers, drained and chopped
1 garlic clove, pressed
1 tablespoon fresh basil leaf, thinly sliced
1 cup sour cream
1 cup fat-free mayonnaise
12 teaspoon Worcestershire sauce
18 teaspoon salt
1 large green peppers or 1 large red bell pepper
","3/4 cup graham cracker crumbs (about 5 cookie sheets)
1/4 teaspoon salt, divided
1 tablespoon unsalted butter
3 1/2 ounces white chocolate, finely chopped
Cooking spray
5 ounces 1/3-less-fat cream cheese, softened
1/3 cup powdered sugar
1/2 teaspoon vanilla extract
2 cups frozen fat-free whipped topping, thawed
2 tablespoons seedless peach spread
1 tablespoon peach schnapps
1/2 teaspoon fresh lemon juice
3 medium peeled peaches, pitted and cut into 1/2-inch wedges
","1) Drain roasted peppers; pat dry.
2) Using food chopper, chop roasted peppers; place in classic 2-quart bowl.
3) Press garlic into bowl, with a garlic press.
4) Slice basil leaves.
5) Add basil, sour cream, mayonnaise, worcestershire sauce, and salt; mix well.
6) Cut top off of green pepper.
7) Remove membranes and seeds.
8) Fill with dip.
9) Serve it assorted cut up vegetables.
","1) 1.
2) Combine crumbs and 1/8 teaspoon salt in a food processor; process until combined.
3) Place butter and chocolate in a microwave-safe bowl.
4) Microwave at HIGH 30 seconds, stirring until chocolate is smooth.
5) Add to processor; pulse until combined.
6) Press mixture into bottom and up sides of a 9-inch pie plate coated with cooking spray.
7) Freeze 20 minutes or until set.2.
8) Place cream cheese, sugar, and vanilla in a medium bowl; beat with a mixer at medium speed until smooth.
9) Gently fold in whipped topping.
10) Carefully spread filling over bottom of crust.
11) Place fruit spread in a large microwave-safe bowl; microwave at HIGH 30 seconds or until bubbly.
12) Stir in remaining 1/8 teaspoon salt, schnapps, and juice.
13) Add peach wedges; toss to combine.
14) Arrange the peach wedges over pie.
15) Chill for 3 hours before serving.
"," Based on the ingredients and preparation, Recipe 2 seems more nutritious and healthy overall compared to Recipe 1.

Here's my analysis:

- Recipe 2 uses more whole food ingredients like graham crackers, peaches, and white chocolate, while Recipe 1 relies more on processed foods like roasted red peppers, sour cream, and mayonnaise. Whole foods tend to be more nutritious.

- Recipe 2 contains fruit (peaches) which provides vitamins, minerals, and",2
530587,879243,"2 tomatoes, chopped and seeded
2 tablespoons red onions, finely chopped
2 tablespoons kraft light house reduced-fat Italian salad dressing
20 Ritz simply socials crackers
1 fresh basil sprig (optional)
1 teaspoon fresh basil, chopped (optional)
1 garlic clove, minced (optional)
","1 (8 ounce) package linguini pasta
1 cup fresh sliced mushrooms
1/4 cup chopped onion
2 tablespoons butter
1/8 teaspoon dried thyme
2 tablespoons all-purpose flour
1 (10.5 ounce) can condensed chicken broth
1 cup half-and-half cream
1 (6 ounce) can marinated artichoke hearts
1/4 cup grated Parmesan cheese
","1) Mix tomatoes, onions and the light dressing; cover and refrigerate at least 1 hour.
2) Top each cracker with about 1 teaspoon of the tomato mixture just before serving.
3) To jazz them up, garnish each topped cracker with the fresh basil sprig just before serving or stir in the chopped fresh basil or the minced garlic into the tomato mixture before chilling.
","1) Cook linguini in a large pot of boiling salted water until tender.
2) Meanwhile, saute mushrooms and onion in butter or margarine with thyme.
3) Remove from heat.
4) Stir in flour.
5) Then stir in chicken broth and half and half.
6) Return to heat, and stir until the sauce boils and thickens.
7) Strain artichokes, and stir the liquid into the sauce.
8) Add the fresh Parmesan.
9) Drain linguini, and toss with sauce.
10) Fold in the strained artichokes.
11) Serve immediately.
"," Recipe 2 is more nutritious and healthy overall. The main reasons are:

- Recipe 2 includes more protein from the chicken broth, half-and-half, Parmesan cheese, and linguini pasta. Protein is an important nutrient for health.

- Recipe 2 contains more vegetables, including mushrooms, onions, and artichokes. Vegetables provide vitamins, minerals, fiber and other beneficial nutrients. 

- Recipe 2 uses whole wheat linguini pasta, which provides more fiber and",2
611328,556660,"5 to 6 ounces peeled and trimmed garlic cloves
2 tablespoons Chili and Garlic Oil
","1 (14-ounce) can chopped tomatoes
3/4 cup extra virgin olive oil
Salt and freshly ground black pepper
1 stalk celery, diced
1 small carrot, diced
1 yellow onion, diced
2 cloves garlic, minced
1 cup chicken broth
1 bay leaf
2 tablespoons butter
1/4 cup chopped fresh basil leaves
1/2 cup heavy cream, optional
","1) Preheat the oven to 375F.
2) Putting them in a small roasting pan, arrange the cloves in a single layer and spoon the Chili and Garlic Oil over.
3) Roast, stirring occasionally, until the cloves are lightly browned, 15 to 20 minutes.
4) Watch the garlic as it browns-when it becomes too brown, it takes on a bitter taste.
5) Cool the garlic and transfer it to a container and refrigerate, covered, until needed.
","1) Preheat oven to 450 degrees F.
2) Strain the chopped canned tomatoes, reserving the juices, and spread onto a baking sheet, season with salt and pepper, to taste, drizzle with 1/4 cup of the olive oil and roast until caramelized, about 15 minutes.
3) Meanwhile, in a saucepan, heat remaining olive oil over medium-low heat.
4) Add the celery, carrot, onion and garlic, cook until softened, about 10 minutes.
5) Add the roasted chopped canned tomatoes, reserved tomato juices, chicken broth, bay leaf and butter.
6) Simmer until vegetables are very tender, about 15 to 20 minutes.
7) Add basil and cream, if using.
8) Puree with a hand held immersion blender until smooth.
"," Based on the ingredients and preparation, Recipe 2 seems more nutritious and healthy overall compared to Recipe 1. Here's my analysis:

Recipe 1 is just roasted garlic cloves in oil. While garlic provides some health benefits, the recipe is very simple and doesn't contain much nutritional variety. 

Recipe 2 contains more vegetables (tomatoes, celery, carrots, onions), herbs (basil), and protein (chicken broth). The preparation method is also more varied, including roasting, sa",2
321762,561878,"4 c. Pared, cored and sliced tart cooking apples
1 1/2 tsp Lemon juice
1/2 c. Sugar
1/4 c. All-purpose flour
1 tsp Cinnamon
1/8 tsp Salt
1 x 9-inch unbaked pie shell (see note)
1/2 pkt (12-ounce) Nestle Toll House butterscotch flavored morsels
1/4 c. Butter
3/4 c. All-purpose flour
1/8 tsp Salt Whipped cream or possibly ice cream (optional)
","1 cup boiling water
2 Tbsp. MAXWELL HOUSE Instant Coffee
1/2 cup plus 1 Tbsp. sugar, divided
2 pkg. (3 oz. each) soft ladyfingers, split, divided
2 pkg. (8 oz. each) PHILADELPHIA Fat Free Cream Cheese, softened
2 cups thawed COOL WHIP LITE Whipped Topping
1 tsp. unsweetened cocoa powder
","1) Filling: Preheat oven to 375 degrees.
2) In large bowl, combine apples and lemon juice; toss till well coated.
3) Stir in sugar, flour, cinnamon and salt; mix well.
4) Spoon into pie shell (see note).
5) Cover edges with aluminum foil.
6) Bake at 375 degrees for 20 min.
7) Topping: Combine over warm (not boiling) water, Nestle Toll House butterscotch flavored morsels and butter; stir till morsels are melted and mix is smooth.
8) Remove from heat.
9) Add in flour and salt; blend till mix forms large crumbs.
10) Remove foil from pie.
11) Crumble Topping over warm apples.
12) Bake at 375 degrees for 25 min longer.
13) Serve hot with whipped cream or possibly ice cream, if you like.
14) Makes one 9-inch pie.
15) NOTE: If using frzn pie shell, it's necessary to use deep dish style, thawed.
16) Place on cookie sheet and bake additional 10 min.
","1) Add boiling water to combined coffee and 1 Tbsp.
2) sugar in small bowl; stir until dissolved.
3) Arrange 1 pkg.
4) ladyfingers on bottom of 13x9-inch dish; brush with 1/2 cup coffee.
5) Beat cream cheese in large bowl with mixer until creamy.
6) Add remaining sugar; mix well.
7) Whisk in COOL WHIP.
8) Spread half the cream cheese mixture over ladyfingers in dish; top with remaining ladyfingers.
9) Brush with remaining coffee mixture; cover with remaining cream cheese mixture.
10) Sprinkle with cocoa powder.
11) Refrigerate 4 hours.
"," Based on the ingredients and preparation, Recipe 1 seems more nutritious and healthy overall compared to Recipe 2.

Recipe 1 uses fresh apples, lemon juice, cinnamon, and butterscotch chips as main ingredients. It has a pie crust, but the filling is made of fruit, spices, and modest amounts of sugar and flour. The apples, lemon, and cinnamon provide vitamins, minerals, and fiber.

Recipe 2 uses instant coffee, ladyfingers, fat free cream cheese",1
155413,81472,"2 slices sandwich bread, tear into quarters (Use a good quality bread, soft whole wheat is OK)
3 tablespoons unsalted butter, divided
2 tablespoons grated parmesan cheese
6 medium garlic cloves, minced (or garlic pressed)
2 teaspoons unbleached all-purpose flour
18 teaspoon red pepper flakes
1 teaspoon minced fresh thyme leave
1 12 lbs green beans, ends trimmed
1 cup low sodium chicken broth
1 tablespoon fresh lemon juice
table salt, to taste
ground black pepper, to taste
","14 cup olive oil
1 stalk celery, chopped
1 eggplant, cut into 1/2 inch pieces
salt
1 red bell pepper, cut into 1/2 inch pieces
1 medium onion, chopped
14 ounces tomatoes, canned, diced
3 tablespoons raisins
12 teaspoon dried oregano leaves
fresh ground black pepper, to taste
14 cup red wine vinegar
2 teaspoons sugar
1 tablespoon capers, drained
1 loaf ciabatta, cut crosswise into 6 equal pieces
2 garlic cloves, peeled
6 slices mozzarella cheese, drained fresh, water-packed (1/3-inch-thick)
","1) In a food processor, pulse bread about ten 1 second pulses until fine, even crumbs.
2) Melt 1 tablespoon butter in large nonstick skillet over medium-high heat.
3) Add breadcrumbs and cook, stirring frequently, until golden brown, 3 to 5 minutes.
4) Transfer to medium bowl and stir in 1/4 teaspoon salt, 1/8 teaspoon pepper, and Parmesan; set aside.
5) Wipe out skillet.
6) Add remaining 2 tablespoons butter, garlic, and 1/4 teaspoon salt; cook over medium heat, stirring constantly, until garlic is golden, 3 to 5 minutes.
7) Stir in flour, red pepper flakes, and thyme, and then toss in green beans.
8) Add chicken broth and increase heat to medium-high; cover and cook until beans are partly tender but still crisp at center, about 4 minutes.
9) Uncover and cook, stirring occasionally, until beans are tender and sauce has thickened slightly, about 4 minutes.
10) Remove from heat, stir in lemon juice, and adjust seasonings with salt and pepper.
11) Transfer to serving dish, sprinkle evenly with breadcrumbs, and serve.
","1) Heat 1/4 cup of the oil in a heavy large skillet over medium heat.
2) Add the celery and saute until crisp-tender, about 2 minutes.
3) Add the eggplant and saute until beginning to soften, about 2 minutes.
4) Season with salt.
5) Add the red pepper and cook until crisp-tender, about 5 minutes.
6) Add the onion and saute until translucent, about 3 minutes.
7) Add the diced tomatoes with their juices, raisins and oregano.
8) Season with salt and pepper, to taste.
9) Simmer over medium-low heat until the flavors blend and the mixture thickens, stirring often, about 20 minutes.
10) Add the vinegar, sugar, and capers.
11) Season with salt and pepper, to taste.
12) Cut the bread pieces in half horizontally.
13) Grill the bread cut-side down on a grill pan over medium-high heat until golden, about 2 minutes.
14) Rub the whole garlic cloves over the toasted side of the bread.
15) Add a slice of mozzarella to bread bottom, spoon the caponata on top, cover with the other bread half, and serve.
"," Based on the ingredients and preparation, Recipe 2 seems more nutritious and healthy overall compared to Recipe 1.

Here are some key points:

- Recipe 2 uses olive oil which is a healthier fat compared to the butter used in Recipe 1. Olive oil provides healthy monounsaturated fats.

- Recipe 2 includes more vegetables overall including celery, eggplant, red bell pepper, and onion. The variety and volume of vegetables makes it more nutrient-dense. ",2
652745,596580,"8 ounces, weight Cream Cheese, Room Temperature
13 cups Sugar
4 ounces, weight Semi Sweet Chocolate, Chopped And Divided
1 whole Egg
","4 medium potatoes, peeled and quartered, save 1/2 cup cooking liquid
14 teaspoon salt, to taste
14 teaspoon onion powder, to taste
10 ounces pepperoni, diced
1 cup frozen corn, thawed
1 cup frozen peas, thawed
13 cup smooth peanut butter
12 cup water
1 tablespoon soy sauce
","1) Preheat your oven to 300 degrees F. Line 6 standard muffin tins with foil liners and lightly grease with cooking spray.
2) Beat your cream cheese on medium speed until very smooth, about 2 minutes.
3) Add in the sugar and 3 ounces of melted chocolate.
4) Beat on medium-low for 1 minute until well blended.
5) Add the egg and mix until just incorporated.
6) Spoon the batter into the muffin cups and bake for 1518 minutes, until the centers of the cheesecakes barley jiggle when nudged.
7) Allow them to cool completely, cover and refrigerate until ready to serve (up to 3 days or freeze for up to 1 month).
8) Just prior to serving, drizzle with the remaining 1 ounce of chocolate.
9) Note: Paper liners can be used as well, just allow to cool a bit, then gently rip them off.
10) (Recipe from Abby Dodges Desserts 4 Today.)
","1) Preheat oven to 350F.
2) Place potatoes in a large sauce pan, adding just enough water to cover.
3) Boil for 15 to 20 minutes, or until potatoes are tender.
4) Drain potatoes, reserving liquid.
5) Mash cooked potatoes with hot cooking liquid, salt, and onion powder.
6) Add additional liquid for desired consistency.
7) Set aside.
8) Combine pepperoni, corn, and peas in a 9"" pie pan.
9) In a separate bowl, whisk together peanut butter, water or cooking liquid, and soy sauce or seasoning until smooth.
10) Pour peanut butter sauce evenly over vegetables.
11) Top with mounds of mashed potatoes.
12) Sprinkle with paprika and bake for 30 to 40 minutes or until potatoes start to brown.
13) Serve hot or at room temperature.
"," Based on the ingredients and recipes provided, Recipe 2 seems more nutritious and healthy overall compared to Recipe 1. Here are some key points:

- Recipe 2 uses whole food ingredients like potatoes, vegetables, and peanut butter. Recipe 1 relies heavily on processed/refined ingredients like cream cheese, sugar, and chocolate.

- Recipe 2 provides more protein from the pepperoni and peanut butter. Recipe 1 has minimal protein. 

- Recipe 2 includes fiber from the potatoes, vegetables",2
593373,581770,"5
1
3
3
1
12()
","1 cup honey
13 cup orange juice, freshly squeezed
1 tablespoon butter
12 teaspoon orange zest, freshly grated (peel)
","1) 3 3
2) 3
3) 3
4) ()2~3
5) 2160
","1) Combine all the ingredients in a small saucepan.
2) Cook, uncovered, over a medium heat, stirring frequently,until butter is melted and the syrup is smooth.
"," Based on the ingredients and recipes provided, I would say that Recipe 2 is likely more nutritious and healthy overall. Here are my reasons:

- Recipe 2 contains real, whole food ingredients like orange juice, zest, and a small amount of butter. Recipe 1 just has numbered ingredients with no indication what they are.

- Recipe 2 has fresh squeezed orange juice which provides vitamin C and citrus flavor. The orange zest also adds flavor and nutritional benefits.

-",2
839725,115597,"4 navel oranges
1/4 cup Nicoise olives, pitted and halved
1/2 teaspoon paprika
2 tablespoons fresh lemon juice
1 tablespoon extra-virgin olive oil
2 tablespoons finely chopped fresh flat-leaf parsley, plus whole leaves for garnish
","2 Tablespoons Vegetable Oil
13 cups Unsweetened Applesauce
3 whole Eggs
23 cups Brown Sugar
3/4 cups Pumpkin Puree
3/4 cups Peanut Butter
2 teaspoons Cinnamon
1- 1/2 teaspoon Baking Powder
1 dash Salt
1- 1/2 cup Gluten-free All-purpose Flour
Cinnamon And Sugar Dusting
","1) Using a sharp knife, slice off both ends of each orange.
2) Carefully slice downward following the curve of the fruit to remove rind and bitter white pith.
3) Slice each orange crosswise into about six rounds, then arrange them in overlapping rows on a serving platter.
4) Sprinkle evenly with olives.
5) In a small bowl, combine paprika and lemon juice; whisk in oil until emulsified.
6) Add chopped parsley, and whisk to combine.
7) Drizzle dressing over oranges and olives; garnish with parsley leaves, and serve.
8) (Per Serving)
9) Calories: 113
10) Saturated Fat: .6g
11) Unsaturated Fat: 3.9g
12) Cholesterol: 0mg
13) Carbohydrates: 19g
14) Protein: 1.4g
15) Sodium: 76mg
16) Fiber: 3.5g
","1) Preheat oven to 350 F. Grease a donut pan (recipe makes 18 regular sized donuts) with nonstick cooking spray and set aside.
2) In a large bowl, mix together vegetable oil, applesauce, eggs, brown sugar, pumpkin puree, peanut butter and cinnamon until fully combined.
3) Gradually add the baking powder, salt and flour and mix until fully combined.
4) Fill each donut cavity about 2/3 of the way full.
5) Bake for about 15 minutes, or until golden brown.
6) Remove pan from the oven and let them cool in the pan for about 2 minutes.
7) While donuts are still warm, roll them in a mixture of white sugar and cinnamon.
8) Let donuts sit on a sheet of parchment paper for another minute or so and enjoy!
9) Recipe adapted from King Arthur Flour.
"," Based on reviewing the ingredients and nutrition information, I would say that Recipe 1 seems more nutritious and healthy overall compared to Recipe 2.

Some key reasons:

- Recipe 1 uses whole fresh fruits (oranges) as the main ingredient, while Recipe 2 uses processed/packaged foods as main ingredients (applesauce, brown sugar, etc).

- Recipe 1 has higher fiber content (3.5g per serving) compared to Recipe 2 which does not list fiber",1
640470,817519,"12 Black tiger shrimp
200 grams Ground chicken
110 grams Hanpen
10 leaves Shiso leaves
10 Spring roll wrappers
1 dash of each Sake, salt
2 tsp soy sauce
1 tsp Sesame oil
1 as necessary Flour dissolved in water
","13 cup extra-virgin olive oil
1 cup sliced onion
4 medium green tomatoes
23 cup milk
23 cup flour
Salt and freshly ground black pepper
","1) Peel the prawns, devein, wash in salt water, and sprinkle with sake.
2) Put the hanpen into a plastic bag and rub thoroughly.
3) Punch with your fists and palms to crush the cakes.
4) Mince the prawns from step 1 using a knife.
5) In a bowl, mix the shrimp, ground chicken, hanpen, salt, soy sauce and sesame oil.
6) Cut the shiso leaves in half.
7) Cut the spring roll skins diagonally to make two triangles.
8) Place the shiso leave onto the triangular skin, leaving space at the bottom and place the filling on top.
9) Tuck both corners in.
10) Wrap loosely and seal using flour water (don't roll it tightly as the filling will expand when frying).
11) Deep fry slowly until done!
","1) Heat one tablespoon of the oil in a large skillet.
2) Add the onions and saute over medium heat until they are golden brown and beginning to crisp.
3) Remove the onions from the skillet and drain on absorbent paper.
4) Slice tomatoes horizontally one-half-inch thick.
5) Dip slices in milk, then coat with flour.
6) Heat remaining oil in the skillet, add the tomato slices and saute until golden brown on one side.
7) Turn and saute until golden on the other side, drain briefly, season to taste with salt and pepper then serve sprinkled with fried onions.
"," Based on the ingredients and preparation, Recipe 1 seems more nutritious and healthy overall compared to Recipe 2. 

Recipe 1 uses lean protein from shrimp and chicken, some fish cake which provides protein, fiber from the shiso leaves, and smaller amounts of added oils and seasonings. The frying method uses less oil overall compared to deep frying the tomatoes in Recipe 2.

Recipe 2 uses a large amount of added oil (1 cup) to fry the tomato slices, along",1
